name_el,name_en,lat,lon
Αθήνα,Athens,37.9842,23.7281
Άμφισσα,Amfissa,38.5253,22.3753
Χαλκίδα,Chalcis,38.4625,23.595
Καρπενήσι,Karpenisi,38.9121,21.795
Λαμία,Lamia,38.8972,22.4311
Λιβαδειά,Livadeia,38.4361,22.875
Θήβα,Thiva,38.321,23.3178
Αγρίνιο,Agrinio,38.6263,21.409
