Ημερομηνία,ΕΥΗΝΟΣ,ΜΑΡΑΘΩΝΑΣ,ΜΟΡΝΟΣ,ΥΛΙΚΗ,ΣΥΝΟΛΟ
2021-05-31,91441000,27421000,625580000,527620000,1272062000
2021-06-01,91609000,27442000,624596000,526700000,1270347000
2021-06-02,91609000,27530000,623448000,525780000,1268367000
2021-06-03,91609000,27552000,622466000,524860000,1266487000
2021-06-04,91609000,27617000,621319000,524170000,1264715000
2021-06-05,91609000,27639000,620175000,523480000,1262903000
2021-06-06,91609000,27639000,619195000,522790000,1261233000
2021-06-07,91777000,27639000,618053000,522100000,1259569000
2021-06-08,91777000,27617000,617075000,521410000,1257879000
2021-06-09,91777000,27639000,615935000,520950000,1256301000
2021-06-10,91946000,27639000,615121000,520260000,1254966000
2021-06-11,91946000,27683000,614145000,519570000,1253344000
2021-06-12,92114000,27683000,613170000,519110000,1252077000
2021-06-13,92114000,27858000,612360000,518650000,1250982000
2021-06-14,92283000,27902000,611224000,518190000,1249599000
2021-06-15,92283000,28056000,610413000,517960000,1248712000
2021-06-16,92283000,28122000,609280000,517500000,1247185000
2021-06-17,92452000,28166000,608309000,517046000,1245973000
2021-06-18,92452000,28166000,607339000,516365000,1244322000
2021-06-19,92452000,28166000,606370000,515911000,1242899000
2021-06-20,92452000,28122000,605402000,515230000,1241206000
2021-06-21,92622000,28122000,604273000,514549000,1239566000
2021-06-22,92622000,28144000,603306000,514095000,1238167000
2021-06-23,92622000,28144000,602341000,513414000,1236521000
2021-06-24,92622000,28100000,601215000,512960000,1234897000
2021-06-25,92622000,28012000,600090000,512279000,1233003000
2021-06-26,92622000,27880000,598966000,511598000,1231066000
2021-06-27,92622000,27792000,597844000,510690000,1228948000
2021-06-28,92791000,27705000,596563000,509782000,1226841000
2021-06-29,92791000,27661000,595443000,509101000,1224996000
2021-06-30,92791000,27573000,594324000,508193000,1222881000
2021-07-01,92791000,27552000,593206000,507285000,1220834000
2021-07-02,92791000,27442000,591931000,506604000,1218768000
2021-07-03,92791000,27377000,590656000,505469000,1216293000
2021-07-04,92791000,27312000,589224000,504561000,1213888000
2021-07-05,92791000,27290000,587792000,503653000,1211526000
2021-07-06,92791000,27312000,586363000,502972000,1209438000
2021-07-07,92791000,27290000,585094000,502064000,1207239000
2021-07-08,92791000,27290000,583510000,501383000,1204974000
2021-07-09,91105000,27312000,583986000,500248000,1202651000
2021-07-10,88783000,27355000,584936000,499340000,1200414000
2021-07-11,86503000,27399000,585411000,498432000,1197745000
2021-07-12,84584000,27442000,586046000,497524000,1195596000
2021-07-13,81762000,27442000,586522000,496389000,1192115000
2021-07-14,79462000,27442000,587157000,495481000,1189542000
2021-07-15,77656000,27421000,587951000,494800000,1187828000
2021-07-16,75732000,27399000,588428000,493900000,1185459000
2021-07-17,73841000,27377000,588905000,492775000,1182898000
2021-07-18,71842000,27355000,589383000,491875000,1180455000
2021-07-19,69466000,27355000,589860000,490750000,1177431000
2021-07-20,67549000,27442000,590337000,489850000,1175178000
2021-07-21,67009000,27464000,589383000,488950000,1172806000
2021-07-22,67144000,27486000,588110000,488050000,1170790000
2021-07-23,67144000,27508000,588110000,487150000,1169912000
2021-07-24,67009000,27552000,585411000,486025000,1165997000
2021-07-25,67009000,27552000,584144000,485125000,1163830000
2021-07-26,67009000,27573000,582877000,484000000,1161459000
2021-07-27,66874000,27573000,581612000,482875000,1158934000
2021-07-28,66874000,27508000,580190000,481975000,1156547000
2021-07-29,66874000,27442000,578929000,481075000,1154320000
2021-07-30,66874000,27377000,577510000,480175000,1151936000
2021-07-31,66739000,27355000,576092000,479275000,1149461000
2021-08-01,66739000,27312000,574833000,478825000,1147709000
2021-08-02,66739000,27312000,573420000,477475000,1144946000
2021-08-03,66605000,27269000,572165000,476800000,1142839000
2021-08-04,66605000,27225000,570910000,475675000,1140415000
2021-08-05,66471000,27269000,569657000,474775000,1138172000
2021-08-06,66471000,27269000,568250000,473650000,1135640000
2021-08-07,66337000,27355000,566999000,472975000,1133666000
2021-08-08,66337000,27399000,565751000,472300000,1131787000
2021-08-09,66203000,27399000,564349000,471424000,1129375000
2021-08-10,66203000,27442000,562948000,470110000,1126703000
2021-08-11,66069000,27530000,561549000,469453000,1124601000
2021-08-12,66069000,27530000,559995000,468577000,1122171000
2021-08-13,65936000,27639000,558754000,467701000,1120030000
2021-08-14,65936000,27705000,557360000,466825000,1117826000
2021-08-15,65803000,27770000,555966000,465949000,1115488000
2021-08-16,65670000,27880000,554728000,465073000,1113351000
2021-08-17,65537000,28012000,553339000,463978000,1110866000
2021-08-18,65537000,28056000,551950000,462883000,1108426000
2021-08-19,65537000,28100000,550564000,462007000,1106208000
2021-08-20,65537000,28122000,549334000,461131000,1104124000
2021-08-21,65404000,28211000,547951000,460255000,1101821000
2021-08-22,65404000,28299000,546723000,459379000,1099805000
2021-08-23,65271000,28343000,545496000,458503000,1097613000
2021-08-24,65271000,28343000,544115000,457627000,1095356000
2021-08-25,65139000,28410000,542889000,456751000,1093189000
2021-08-26,65139000,28410000,541512000,455875000,1090936000
2021-08-27,65139000,28454000,540444000,454999000,1089036000
2021-08-28,65139000,28477000,539375000,454123000,1087114000
2021-08-29,64991000,28477000,538310000,453247000,1085025000
2021-08-30,64991000,28499000,536940000,452590000,1083020000
2021-08-31,64991000,28521000,535724000,451714000,1080950000
2021-09-01,64844000,28499000,534357000,450838000,1078538000
2021-09-02,64844000,28454000,533145000,450400000,1076843000
2021-09-03,64844000,28388000,531932000,449764000,1074928000
2021-09-04,64697000,28321000,530569000,449128000,1072715000
2021-09-05,64697000,28299000,529360000,448704000,1071060000
2021-09-06,64550000,28255000,528453000,448280000,1069538000
2021-09-07,64550000,28233000,527244000,447856000,1067883000
2021-09-08,64550000,28233000,526037000,447220000,1066040000
2021-09-09,64991000,28521000,535724000,451714000,1080950000
2021-09-10,64403000,28299000,523627000,446160000,1062489000
2021-09-11,64403000,28255000,522424000,445524000,1060606000
2021-09-12,64403000,28233000,521373000,445100000,1059109000
2021-09-13,64257000,28122000,520173000,444676000,1057228000
2021-09-14,64111000,28034000,519124000,444252000,1055521000
2021-09-15,63965000,27968000,517927000,444040000,1053900000
2021-09-16,63965000,27880000,516730000,443616000,1052191000
2021-09-17,63819000,27792000,515536000,442980000,1050127000
2021-09-18,63819000,27639000,514193000,442556000,1048207000
2021-09-19,63819000,27486000,513002000,441920000,1046227000
2021-09-20,63673000,27355000,511662000,441708000,1044398000
2021-09-21,63673000,27225000,510474000,441496000,1042868000
2021-09-22,63528000,27138000,509137000,441284000,1041087000
2021-09-23,63528000,27052000,507951000,440648000,1039179000
2021-09-24,63528000,27052000,506618000,440012000,1037210000
2021-09-25,63528000,27009000,506175000,439800000,1036512000
2021-09-26,63383000,26966000,504991000,439376000,1034716000
2021-09-27,63383000,26879000,503662000,438740000,1032664000
2021-09-28,61801000,26793000,503809000,438528000,1030931000
2021-09-29,59687000,26686000,504400000,438316000,1029089000
2021-09-30,57486000,26600000,505139000,438104000,1027329000
2021-10-01,55604000,26536000,505731000,437680000,1025551000
2021-10-02,53762000,26515000,505583000,437468000,1023328000
2021-10-03,51960000,26451000,506470000,437044000,1021925000
2021-10-04,49700000,26408000,506914000,436832000,1019854000
2021-10-05,47503000,26365000,507211000,436196000,1017275000
2021-10-06,45953000,26280000,507655000,435984000,1015872000
2021-10-07,43974000,26238000,508009000,435772000,1013993000
2021-10-08,42384000,26153000,508544000,435348000,1012429000
2021-10-09,40828000,26153000,509286000,435560000,1011827000
2021-10-10,39248000,26195000,509879000,435560000,1010882000
2021-10-11,38162000,26195000,510770000,435560000,1010687000
2021-10-12,37448000,26238000,511959000,435348000,1010993000
2021-10-13,36274000,26238000,512853000,435136000,1010501000
2021-10-14,34779000,26216000,513448000,434924000,1009367000
2021-10-15,33653000,26622000,514640000,435560000,1010475000
2021-10-16,35235000,26664000,516730000,435772000,1014401000
2021-10-17,36274000,26579000,518375000,435984000,1017212000
2021-10-18,35350000,26515000,520023000,435984000,1017872000
2021-10-19,34213000,26429000,520923000,435560000,1017125000
2021-10-20,32987000,26365000,521824000,435560000,1016736000
2021-10-21,31568000,26238000,522424000,435136000,1015366000
2021-10-22,29972000,26153000,523176000,434924000,1014225000
2021-10-23,28317000,25984000,523928000,434924000,1013153000
2021-10-24,26907000,25857000,524531000,434712000,1012007000
2021-10-25,25533000,25710000,525284000,434712000,1011239000
2021-10-26,24099000,25542000,525585000,434500000,1009726000
2021-10-27,22704000,25459000,526188000,434288000,1008639000
2021-10-28,21435000,25396000,526641000,433864000,1007336000
2021-10-29,20199000,25375000,527244000,433864000,1006682000
2021-10-30,18867000,25334000,527396000,433228000,1004825000
2021-10-31,17410000,25313000,527698000,433228000,1003649000
2021-11-01,16000000,25292000,528151000,433016000,1002459000
2021-11-02,14724000,25188000,528604000,433016000,1001532000
2021-11-03,14277000,25105000,529662000,432804000,1001848000
2021-11-04,14277000,25105000,530267000,432804000,1002453000
2021-11-05,12116000,25126000,530115000,432592000,999949000
2021-11-06,12200000,25105000,529813000,432592000,999710000
2021-11-07,12285000,25085000,528907000,432880000,999157000
2021-11-08,12454000,25064000,528000000,432168000,997686000
2021-11-09,12624000,25043000,527093000,432168000,996928000
2021-11-10,12795000,25023000,526338000,432168000,996324000
2021-11-11,12881000,25023000,525284000,431744000,994932000
2021-11-12,12967000,25002000,524229000,431532000,993730000
2021-11-13,13053000,24940000,523036000,431320000,992349000
2021-11-14,13139000,24899000,521824000,431108000,990970000
2021-11-15,13225000,24837000,520623000,430896000,989581000
2021-11-16,13312000,24796000,519424000,430896000,988428000
2021-11-17,13399000,24837000,518525000,430684000,987445000
2021-11-18,13486000,24899000,517478000,430472000,986335000
2021-11-19,13573000,25023000,516432000,430260000,985288000
2021-11-20,13660000,24919000,515386000,430260000,984225000
2021-11-21,13660000,25064000,514342000,430048000,983114000
2021-11-22,13748000,25105000,513299000,429836000,981988000
2021-11-23,13924000,25250000,512406000,429836000,981416000
2021-11-24,14904000,25313000,512108000,430260000,982585000
2021-11-25,19335000,25480000,511514000,429836000,986165000
2021-11-26,15907000,25521000,510770000,429412000,981610000
2021-11-27,19164000,25710000,513299000,430684000,988857000
2021-11-28,22247000,28815000,514939000,431532000,997533000
2021-11-29,30605000,25773000,517777000,432380000,1006535000
2021-11-30,40389000,25773000,524229000,432380000,1022771000
2021-12-01,45366000,25815000,527848000,432804000,1031833000
2021-12-02,47744000,25815000,528907000,434500000,1036966000
2021-12-03,49453000,25857000,529511000,434712000,1039533000
2021-12-04,58031000,25815000,531326000,434712000,1049884000
2021-12-05,66203000,25773000,533145000,434924000,1060045000
2021-12-06,68640000,25626000,534357000,435772000,1064395000
2021-12-07,75439000,25521000,536636000,435772000,1073368000
2021-12-08,81144000,25396000,538157000,435984000,1080681000
2021-12-09,82227000,25188000,541207000,435772000,1084394000
2021-12-10,83793000,25064000,544268000,436620000,1089745000
2021-12-11,89277000,24899000,549795000,436196000,1100167000
2021-12-12,117993000,24837000,571381000,436196000,1150407000
2021-12-13,117446000,24693000,584144000,437892000,1164175000
2021-12-14,115276000,24611000,589224000,441284000,1170395000
2021-12-15,114380000,24899000,593525000,442556000,1175360000
2021-12-16,113491000,25043000,596883000,442980000,1178397000
2021-12-17,113136000,25023000,599769000,443828000,1181756000
2021-12-18,112959000,24981000,602824000,444464000,1185228000
2021-12-19,112782000,25023000,605402000,445312000,1188519000
2021-12-20,111686000,25002000,607662000,445524000,1189874000
2021-12-21,109878000,24961000,609928000,445948000,1190715000
2021-12-23,107030000,25002000,613820000,446372000,1192224000
2021-12-24,105627000,25023000,615935000,446372000,1192957000
2021-12-25,104238000,25043000,617890000,446796000,1193967000
2021-12-26,102862000,25105000,619685000,447008000,1194660000
2021-12-27,103548000,25167000,621811000,447220000,1197746000
2021-12-28,106678000,25230000,625415000,447220000,1204543000
2021-12-29,109160000,25396000,628540000,447644000,1210740000
2021-12-30,110418000,25480000,631010000,448280000,1215188000
2021-12-31,109878000,25563000,633486000,448492000,1217419000
