Ημερομηνία,ΕΥΗΝΟΣ,ΜΑΡΑΘΩΝΑΣ,ΜΟΡΝΟΣ,ΥΛΙΚΗ,ΣΥΝΟΛΟ
2020-12-31,56674000,28588000,464557000,517730000,1067549000
2021-01-01,59409000,28321000,465125000,517960000,1070815000
2021-01-02,60809000,28122000,465267000,517960000,1072158000
2021-01-03,63093000,27946000,466262000,518190000,1075491000
2021-01-04,68640000,27726000,468828000,518190000,1083384000
2021-01-05,79310000,27595000,475412000,519340000,1101657000
2021-01-06,82539000,27442000,479299000,521180000,1110460000
2021-01-07,83478000,27225000,484213000,522100000,1117016000
2021-01-08,84267000,27009000,487698000,523250000,1122224000
2021-01-09,84584000,26793000,491629000,523710000,1126716000
2021-01-10,85220000,26579000,494844000,524170000,1130813000
2021-01-11,85220000,26344000,498363000,524630000,1134557000
2021-01-12,85220000,26132000,501598000,524630000,1137580000
2021-01-13,88783000,26026000,504991000,525550000,1145350000
2021-01-14,89442000,25941000,508099000,526010000,1149492000
2021-01-15,89442000,25899000,513299000,526470000,1155110000
2021-01-16,88783000,25731000,515984000,526930000,1157428000
2021-01-17,88127000,25521000,518375000,527390000,1159413000
2021-01-18,87150000,25313000,521223000,528080000,1161766000
2021-01-19,86181000,25002000,523326000,528310000,1162819000
2021-01-20,84902000,24632000,525434000,528540000,1163508000
2021-01-21,83478000,24489000,527093000,528770000,1163830000
2021-01-22,82227000,24448000,529209000,529000000,1164884000
2021-01-23,82072000,24407000,531477000,529230000,1167186000
2021-01-24,86181000,24529000,535876000,529690000,1176276000
2021-01-25,93131000,24611000,542276000,530150000,1190168000
2021-01-26,97495000,24693000,547798000,530840000,1200826000
2021-01-27,110779000,24775000,559995000,531530000,1227079000
2021-01-28,113846000,24858000,565284000,532680000,1236668000
2021-01-29,113668000,24899000,569032000,533600000,1241199000
2021-01-30,113846000,25313000,573105000,534290000,1246554000
2021-01-31,113668000,25313000,576879000,535440000,1251300000
2021-02-01,114024000,25313000,580822000,535900000,1256059000
2021-02-02,114738000,25313000,584778000,536130000,1260959000
2021-02-03,114202000,24899000,588428000,536590000,1264119000
2021-02-04,113668000,24919000,591134000,537050000,1266771000
2021-02-05,113136000,24961000,593845000,537280000,1269222000
2021-02-06,112599000,25002000,596243000,537740000,1271584000
2021-02-07,112750000,25085000,598645000,537970000,1274450000
2021-02-08,110779000,25105000,601054000,538200000,1275138000
2021-02-09,109878000,25147000,604111000,538430000,1277566000
2021-02-10,110238000,25188000,607339000,538660000,1281425000
2021-02-11,110057000,25250000,609928000,538890000,1284125000
2021-02-12,109878000,25313000,612684000,539350000,1287225000
2021-02-13,109160000,25334000,615121000,539810000,1289425000
2021-02-14,108803000,25354000,618053000,540500000,1292710000
2021-02-15,108269000,25500000,620828000,541665000,1296262000
2021-02-16,107383000,25584000,623285000,541898000,1298150000
2021-02-17,106326000,25710000,625744000,542597000,1300377000
2021-02-18,105278000,25731000,627388000,542597000,1300994000
2021-02-19,103892000,25731000,628869000,542830000,1301322000
2021-02-20,102520000,25857000,630845000,543296000,1302518000
2021-02-21,101331000,26068000,632661000,543762000,1303822000
2021-02-22,99984000,26536000,634478000,543995000,1304993000
2021-02-23,98817000,26836000,636133000,544228000,1306014000
2021-02-24,97659000,27009000,637458000,544461000,1306587000
2021-02-25,95861000,27182000,638951000,544694000,1306688000
2021-02-26,94500000,27225000,640779000,545160000,1307664000
2021-02-27,93131000,27269000,642609000,545626000,1308635000
2021-02-28,91609000,27312000,644441000,545859000,1309221000
2021-03-01,89939000,27355000,646278000,545859000,1309431000
2021-03-02,88291000,27399000,648116000,546325000,1310131000
2021-03-03,86665000,27442000,649791000,546558000,1310456000
2021-03-04,85061000,27442000,651300000,546558000,1310361000
2021-03-05,83321000,27464000,652810000,546791000,1310386000
2021-03-06,81762000,27421000,654154000,547024000,1310361000
2021-03-07,80223000,27442000,655502000,547257000,1310424000
2021-03-08,78555000,27464000,657018000,547257000,1310294000
2021-03-09,77060000,27464000,658537000,547490000,1310551000
2021-03-10,75292000,27464000,659888000,547490000,1310134000
2021-03-11,73553000,27486000,661241000,547723000,1310003000
2021-03-12,71984000,27530000,662426000,547723000,1309663000
2021-03-13,70438000,27530000,663443000,547723000,1309134000
2021-03-14,68914000,27530000,664631000,547723000,1308798000
2021-03-15,67279000,27508000,666159000,548189000,1309135000
2021-03-16,65936000,27464000,668030000,548189000,1309619000
2021-03-17,64257000,27486000,669392000,547956000,1309091000
2021-03-18,62805000,27486000,670416000,547956000,1308663000
2021-03-19,61091000,27508000,671782000,547723000,1308104000
2021-03-20,60668000,27486000,671953000,547956000,1308063000
2021-03-21,62949000,27442000,671953000,547956000,1310300000
2021-03-22,65271000,27442000,671953000,548422000,1313088000
2021-03-23,67821000,27421000,672294000,548422000,1315958000
2021-03-24,69328000,27442000,672294000,549121000,1318185000
2021-03-25,70577000,27486000,671953000,549121000,1319137000
2021-03-26,71419000,27508000,671611000,548888000,1319426000
2021-03-27,72125000,27530000,671269000,549121000,1320045000
2021-03-28,72837000,27486000,670757000,549121000,1320201000
2021-03-29,73410000,27442000,670416000,549121000,1320389000
2021-03-30,74130000,27421000,669904000,549121000,1320576000
2021-03-31,74564000,27399000,669563000,549354000,1320880000
2021-04-01,75000000,27464000,669222000,549354000,1321040000
2021-04-02,75439000,27552000,668711000,549354000,1321056000
2021-04-03,76025000,27595000,668200000,549587000,1321407000
2021-04-04,76468000,27552000,667520000,549587000,1321127000
2021-04-05,76763000,27530000,666669000,549587000,1320549000
2021-04-06,77209000,27530000,665989000,549587000,1320315000
2021-04-07,77805000,27595000,665140000,549121000,1319661000
2021-04-08,78255000,27617000,664461000,549121000,1319454000
2021-04-09,78706000,27595000,663274000,548655000,1318230000
2021-04-10,79310000,27573000,662426000,547723000,1317032000
2021-04-11,79614000,27530000,661749000,547257000,1316150000
2021-04-12,79918000,27530000,661241000,546791000,1315480000
2021-04-13,80071000,27486000,660565000,546558000,1314680000
2021-04-14,80223000,27442000,660057000,546325000,1314047000
2021-04-15,80529000,27464000,659381000,545859000,1313233000
2021-04-16,80683000,27421000,658706000,545393000,1312203000
2021-04-17,80990000,27377000,658199000,545160000,1311726000
2021-04-18,81144000,27355000,657356000,544461000,1310316000
2021-04-19,81452000,27355000,656681000,543995000,1309483000
2021-04-20,82072000,27334000,656176000,543529000,1309111000
2021-04-21,82383000,27312000,655671000,543296000,1308662000
2021-04-22,82695000,27269000,654828000,543063000,1307855000
2021-04-23,83008000,27225000,654322000,542830000,1307385000
2021-04-24,83321000,27182000,653819000,542830000,1307152000
2021-04-25,83951000,27269000,654154000,542830000,1308204000
2021-04-26,84584000,27355000,653819000,542830000,1308588000
2021-04-27,85061000,27355000,653482000,542830000,1308728000
2021-04-28,85380000,27399000,652978000,542830000,1308587000
2021-04-29,85700000,27377000,652474000,542830000,1308381000
2021-04-30,85860000,27355000,651971000,543063000,1308249000
2021-05-01,86021000,27399000,651300000,543296000,1308016000
2021-05-02,86181000,27399000,650964000,543296000,1307840000
2021-05-03,86665000,27377000,650293000,543529000,1307864000
2021-05-04,87150000,27355000,649623000,543529000,1307657000
2021-05-05,87638000,27312000,649121000,543529000,1307600000
2021-05-06,88127000,27269000,648284000,543063000,1306743000
2021-05-07,88455000,27225000,647615000,542597000,1305892000
2021-05-08,88783000,27203000,646946000,542364000,1305296000
2021-05-09,88947000,27160000,646111000,542131000,1304349000
2021-05-10,89112000,27138000,645276000,541432000,1302958000
2021-05-11,89277000,27138000,644441000,540966000,1301822000
2021-05-12,89442000,27160000,643608000,540500000,1300710000
2021-05-13,89607000,27203000,642609000,540040000,1299459000
2021-05-14,89773000,27225000,641610000,539350000,1297958000
2021-05-15,89939000,27269000,640447000,539120000,1296775000
2021-05-16,90105000,27334000,639450000,538660000,1295549000
2021-05-17,90105000,27421000,638620000,538200000,1294346000
2021-05-18,90271000,27442000,637458000,537510000,1292681000
2021-05-19,90271000,27530000,636630000,537050000,1291481000
2021-05-20,90437000,27530000,635636000,536590000,1290193000
2021-05-21,90437000,27508000,634644000,535670000,1288259000
2021-05-22,90604000,27530000,633982000,534750000,1286866000
2021-05-23,90771000,27573000,633156000,533830000,1285330000
2021-05-24,90938000,27552000,632165000,533370000,1284025000
2021-05-25,91105000,27530000,631340000,532680000,1282655000
2021-05-26,91105000,27486000,630515000,531990000,1281096000
2021-05-27,91105000,27442000,629692000,531300000,1279539000
2021-05-28,91105000,27377000,628704000,530380000,1277566000
2021-05-29,91273000,27355000,627717000,529460000,1275805000
2021-05-30,91273000,27355000,626730000,528540000,1273898000
