Date,Schedule,Intersection,Area
01/02/2022,ΕΚΤΑΚΤΗ,"Καραΐσκου και Σκουζέ",ΠΕΙΡΑΙΑΣ
01/02/2022,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Σκρα και Μπραχαμίου",ΜΑΡΟΥΣΙ
01/02/2022,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Καραολή και Κλαζομενών",ΚΑΙΣΑΡΙΑΝΗ
01/02/2022,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αγίων Αναργύρων και Φανερωμένης",ΓΑΛΑΤΣΙ
01/02/2022,ΕΚΤΑΚΤΗ,"Φύτρου και Υπερείδου",ΗΛΙΟΥΠΟΛΗ
01/02/2022,ΕΚΤΑΚΤΗ,"Ελευθ. Βενιζέλου και Πάρσης","Ν. ΙΩΝΙΑ"
01/02/2022,ΕΚΤΑΚΤΗ,"Ακαδημίας και Βουκουρεστίου",ΑΘΗΝΑ
01/02/2022,ΕΚΤΑΚΤΗ,"Σαράφη και Γκιόκα",ΕΛΕΥΣΙΝΑ
01/02/2022,ΕΚΤΑΚΤΗ,"Πουσουλίδου και Ακομινάτου",ΗΛΙΟΥΠΟΛΗ
01/02/2022,ΕΚΤΑΚΤΗ,"Βεΐκου και Αργυρίου",ΑΘΗΝΑ
01/02/2022,ΕΚΤΑΚΤΗ,"Τριπόλεως και Ετεοκλέους",ΑΘΗΝΑ
01/02/2022,ΕΚΤΑΚΤΗ,"Λεωφ. Κυθηρίων και Πλειάδων",ΑΛΙΜΟΣ
01/02/2022,ΕΚΤΑΚΤΗ,"Καβάλας και Γορτυνίας","Ν. ΙΩΝΙΑ"
01/02/2022,ΕΚΤΑΚΤΗ,"Βενεζουέλας και Επαμεινώνδα","ΑΝΩ ΓΛΥΦΑΔΑ"
01/02/2022,ΕΚΤΑΚΤΗ,"Παλαμηδίου και Νίκης",ΑΛΙΜΟΣ
01/02/2022,ΕΚΤΑΚΤΗ,"Φιλελλήνων και Καραίσκου",ΠΕΙΡΑΙΑΣ
01/02/2022,ΕΚΤΑΚΤΗ,"Χαλκηδόνος και Εθν.Αντιστάσεως",ΑΧΑΡΝΕΣ
01/02/2022,ΕΚΤΑΚΤΗ,"Ικαριέων και Ζαγρέως",ΑΘΗΝΑ
01/02/2022,ΕΚΤΑΚΤΗ,"Αγκύλης 81",ΑΘΗΝΑ
02/02/2022,ΕΚΤΑΚΤΗ,"Αγ.Σοφίας και Μακρυγιάννη",ΑΘΗΝΑ
02/02/2022,ΕΚΤΑΚΤΗ,"Πέτρου Ράλλη και Αγίας Άννης",ΑΙΓΑΛΕΩ
02/02/2022,ΕΚΤΑΚΤΗ,"Νικηταρά και Θηβών",ΑΙΓΑΛΕΩ
02/02/2022,ΕΚΤΑΚΤΗ,"Γεωργίου Παπανδρέου και Δαβάκη Πίνδου",ΓΟΥΔΙ
02/02/2022,ΕΚΤΑΚΤΗ,"Σιβρισαρίου & Νέας Εφέσσου",ΚΑΙΣΑΡΙΑΝΗ
02/02/2022,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Καλαμά-Γαλαξιδίου ,Καλαμά,Αβδήρων,Αβδήρων,Μανιτάκη,Γαλαξιδίου",ΑΘΗΝΑ
02/02/2022,ΕΚΤΑΚΤΗ,"Ηλείας και Νίκης",ΠΕΡΑΜΑ
02/02/2022,ΕΚΤΑΚΤΗ,"Κυθαιρώνος 15 και Μουτσόπουλου Δ.",ΠΕΙΡΑΙΑΣ
02/02/2022,ΕΚΤΑΚΤΗ,"Κουλουριώτικο Μονοπάτι και Αθηνάς","Ν. ΠΕΡΑΜΟΣ"
02/02/2022,ΕΚΤΑΚΤΗ,"Λακωνίας και Δωδεκανήσου",ΒΟΥΛΑ
02/02/2022,ΕΚΤΑΚΤΗ,"Κων/νου Καραμανλή και Καλυψούς",ΓΛΥΦΑΔΑ
02/02/2022,ΕΚΤΑΚΤΗ,"Ερμωνάσσης και Ταναϊδος",ΑΘΗΝΑ
02/02/2022,ΕΚΤΑΚΤΗ,"Φιλελλήνων και Περικλέους",ΠΕΙΡΑΙΑΣ
02/02/2022,ΕΚΤΑΚΤΗ,"Πλάτωνος και Λεωνιδίου",ΗΛΙΟΥΠΟΛΗ
02/02/2022,ΕΚΤΑΚΤΗ,"Αδριανού και Μυκάλης",ΚΑΜΙΝΙΑ
02/02/2022,ΕΚΤΑΚΤΗ,"Ηπείρου και Αχαρνών",ΑΘΗΝΑ
02/02/2022,ΕΚΤΑΚΤΗ,"Δημοσθένους και Σπάρτης",ΚΑΛΛΙΘΕΑ
03/02/2022,ΕΚΤΑΚΤΗ,"Πλαστήρα και Εφέσου",ΑΛΣΟΣ
03/02/2022,ΕΚΤΑΚΤΗ,"Παράσχου Αχιλ και Διαδόχου Παύλου",ΨΥΧΙΚΟ
03/02/2022,ΕΚΤΑΚΤΗ,"Γενναδίου και Γούναρη",ΚΑΜΑΤΕΡΟ
03/02/2022,ΕΚΤΑΚΤΗ,"Μεγαρίδος και Νάξου",ΑΣΠΡΟΠΥΡΓΟΣ
03/02/2022,ΕΚΤΑΚΤΗ,"Σολωμού και Λεωφόρου Βουλιαγμένης","ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ"
03/02/2022,ΕΚΤΑΚΤΗ,"Γυμναστηρίου και Γιαμουδάκη",ΗΛΙΟΥΠΟΛΗ
03/02/2022,ΕΚΤΑΚΤΗ,"Κουντουριώτου και Σκουζέ",ΠΕΙΡΑΙΑΣ
03/02/2022,ΕΚΤΑΚΤΗ,"Προφήτου Δανιήλ και Πέτρου Ράλλη",ΤΑΥΡΟΣ
03/02/2022,ΕΚΤΑΚΤΗ,"Κωνσταντινουπόλεως και Δαμβέργη",ΑΘΗΝΑ
03/02/2022,ΕΚΤΑΚΤΗ,"Θράκης και Παναγίας Φανερωμένης",ΑΣΠΡΟΠΥΡΓΟΣ
03/02/2022,ΕΚΤΑΚΤΗ,"Αιθρίας 3 και Χελιδονούς",ΚΗΦΙΣΙΑ
03/02/2022,ΕΚΤΑΚΤΗ,"Οιτύλου και Γλάστρας",ΚΑΜΑΤΕΡΟ
03/02/2022,ΕΚΤΑΚΤΗ,"Νεότητος και Σοφίας",ΗΡΑΚΛΕΙΟ
03/02/2022,ΕΚΤΑΚΤΗ,"Σατωβριάνδου και Θεοτόκη",ΗΛΙΟΥΠΟΛΗ
03/02/2022,ΕΚΤΑΚΤΗ,"Γορτυνίας και Καβάλας","Ν. ΙΩΝΙΑ"
03/02/2022,ΕΚΤΑΚΤΗ,"28ης Οκτωβρίου και Νικολαϊδη Π.",ΠΕΡΑΜΑ
03/02/2022,ΕΚΤΑΚΤΗ,"Στριφτόμπολα και Αχαρνών",ΑΘΗΝΑ
03/02/2022,ΕΚΤΑΚΤΗ,"Ανθέων  και Ακτή Θεμιστοκλέους",ΣΑΛΑΜΙΝΑ
03/02/2022,ΕΚΤΑΚΤΗ,"Μαικήνα και Πολυδώρου",ΖΩΓΡΑΦΟΣ
03/02/2022,ΕΚΤΑΚΤΗ,"Ελασιδών και Δεκελέων",ΑΘΗΝΑ
04/02/2022,ΕΚΤΑΚΤΗ,"Τενέδου και Ελπίδος","ΑΓ. ΔΗΜΗΤΡΙΟΣ Π"
04/02/2022,ΕΚΤΑΚΤΗ,"Εθνικής Αντιστάσεως και Βέργη",ΖΩΓΡΑΦΟΣ
04/02/2022,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Καραολή, Φιλαδελφείας και Νικομήδειας",ΚΑΙΣΑΡΙΑΝΗ
04/02/2022,ΕΚΤΑΚΤΗ,"Αγίου Ιωάννου Προδρόμου και Αγγελοπούλου",ΑΣΠΡΟΠΥΡΓΟΣ
04/02/2022,ΕΚΤΑΚΤΗ,"Φιλυρών και Πρασίνου Λόφου",ΗΡΑΚΛΕΙΟ
