Date,Schedule,Intersection,Area
01/02/2024,ΕΚΤΑΚΤΗ,"Αλέκου Παναγούλη και Δενιζλή","Ν. ΙΩΝΙΑ"
01/02/2024,ΕΚΤΑΚΤΗ,"Πιττακού και Σαπφούς",ΜΑΡΟΥΣΙ
01/02/2024,ΕΚΤΑΚΤΗ,"Λεωφ. Δημοκρατίας και Κομνηνών",ΚΕΡΑΤΣΙΝΙ
01/02/2024,ΕΚΤΑΚΤΗ,"Αισχύλου και Κ. Βάρναλη",ΑΙΓΑΛΕΩ
01/02/2024,ΕΚΤΑΚΤΗ,"Κοδρικτώνος και Αχαρνών","ΑΓ. ΠΑΝΤΕΛΕΗΜΟΝΑΣ"
01/02/2024,ΕΚΤΑΚΤΗ,"Λεωφ. Σαλαμινομάχων και Αλκυόνης",ΠΑΛΟΥΚΙΑ
01/02/2024,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Δανάης και Μούντε Μ.",ΧΑΛΑΝΔΡΙ
01/02/2024,ΕΚΤΑΚΤΗ,"Κατσουλάκου και Επονιτών",ΠΕΙΡΑΙΑΣ
01/02/2024,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Θερμοπυλών και Αριστοτέλους",ΜΟΣΧΑΤΟ
01/02/2024,ΕΚΤΑΚΤΗ,"Πεντέλης Λεωφ. και Μεσσηνίας",ΧΑΛΑΝΔΡΙ
01/02/2024,ΕΚΤΑΚΤΗ,"3ης Σεπτεμβρίου και Γκυϊλφόρδου","ΠΛ. ΒΙΚΤΩΡΙΑΣ"
01/02/2024,ΕΚΤΑΚΤΗ,"Τόρβα και Ευρυδάμαντος",ΑΘΗΝΑ
01/02/2024,ΕΚΤΑΚΤΗ,"Αισχύλου και Κιλκίς",ΝΙΚΑΙΑ
01/02/2024,ΕΚΤΑΚΤΗ,"Ούλωφ Πάλμε και Αγ. Πολυκάρπου",ΚΑΙΣΑΡΙΑΝΗ
01/02/2024,ΕΚΤΑΚΤΗ,"Σαρωνικού και Σπάρτης",ΚΑΛΛΙΘΕΑ
01/02/2024,ΕΚΤΑΚΤΗ,"Βρυούλων και Ν. Τρύπια","Ν. ΦΙΛΑΔΕΛΦΕΙΑ"
02/02/2024,ΕΚΤΑΚΤΗ,"Μηλιαράκη και Ζολώτα",ΑΘΗΝΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Σοφοκλέους και Πυθαγόρα έως Σισμανογλείου και Αναπαύσεως",ΑΝΑΒΡΥΤΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Πειραιώς και Επιδαύρου",ΜΟΣΧΑΤΟ
02/02/2024,ΕΚΤΑΚΤΗ,"Σκύρου και Ευριπίδου",ΑΚΤΗΜΟΝΩΝ
02/02/2024,ΕΚΤΑΚΤΗ,"Κάλβου και Παπαρρηγοπούλου",ΨΥΧΙΚΟ
02/02/2024,ΕΚΤΑΚΤΗ,"Κορυτσάς και Αριστείδου",ΑΙΓΑΛΕΩ
02/02/2024,ΕΚΤΑΚΤΗ,"Τελεσίου και Ενδυμίωνος",ΑΘΗΝΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Αδελφών Διδασκάλου και Λεωφ.Αλίμου",ΑΛΙΜΟΣ
02/02/2024,ΕΚΤΑΚΤΗ,"Νικ.Πλαστήρα και Σκουφά","ΑΓ. ΔΗΜΗΤΡΙΟΣ Π"
02/02/2024,ΕΚΤΑΚΤΗ,"Λεωφ. Ηλιακτής και 25ης Μαρτίου",ΣΑΛΑΜΙΝΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Π. Τσαλδάρη και Ιφιγένειας",ΚΑΛΛΙΘΕΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Αγ. Παρασκεύης και Νομιμότητας",ΑΧΑΡΝΕΣ
02/02/2024,ΕΚΤΑΚΤΗ,"Οδυσσέως και Πηνελόπης",ΑΘΗΝΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Θέτιδος και Διοχάρους",ΑΘΗΝΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Τελεσίου και Προμπονά",ΑΘΗΝΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Επικλέους και Επινίκου",ΑΘΗΝΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Σταδίου και Σταύρου Γ.",ΑΘΗΝΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Δράμας και Συγγρού",ΑΣΠΡΟΠΥΡΓΟΣ
02/02/2024,ΕΚΤΑΚΤΗ,"Βενιζέλου Ελ. και  Συνταγματάρχου Δαβάκη",ΚΑΛΛΙΘΕΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Πλάτωνος και Πλαστήρα Ν.",ΜΑΡΟΥΣΙ
02/02/2024,ΕΚΤΑΚΤΗ,"Κατσώνη Λάμπρου και Γώγου","ΑΓ. ΑΝΑΡΓΥΡΟΙ"
02/02/2024,ΕΚΤΑΚΤΗ,"Λαμπράκη Γρ. και Πόντου",ΣΑΛΑΜΙΝΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Μανωλίδη Λ. και Υμηττού",ΚΑΙΣΑΡΙΑΝΗ
02/02/2024,ΕΚΤΑΚΤΗ,"Εριφύλης και Αργολίδος",ΑΧΑΡΝΕΣ
02/02/2024,ΕΚΤΑΚΤΗ,"Λεωφ. Κωνσταντινουπόλεως και Αγ. Μελετίου",ΑΘΗΝΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Πολυκλείτου και Ζηνοδότου",ΗΛΙΟΥΠΟΛΗ
02/02/2024,ΕΚΤΑΚΤΗ,"Κιλκίς και Λένορμαν",ΑΘΗΝΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Π. Τζέν και Λεωφ. Κηφισίας",ΚΗΦΙΣΙΑ
02/02/2024,ΕΚΤΑΚΤΗ,"Μοιρών και Αρχελάου",ΑΧΑΡΝΕΣ
02/02/2024,ΕΚΤΑΚΤΗ,"Αγ. Τριάδος",ΑΣΠΡΟΠΥΡΓΟΣ
03/02/2024,ΕΚΤΑΚΤΗ,"Ευβοίας και Πρεμετής","ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ"
03/02/2024,ΕΚΤΑΚΤΗ,"Αισχύλου και Δημοκρατίας",ΑΙΓΑΛΕΩ
03/02/2024,ΕΚΤΑΚΤΗ,"Νεαπόλεως και Αντιοχείας","Ν. ΦΙΛΑΔΕΛΦΕΙΑ"
03/02/2024,ΕΚΤΑΚΤΗ,"Κάρπου και Ηλιουπόλεως",ΑΘΗΝΑ
03/02/2024,ΕΚΤΑΚΤΗ,"Κεφαλληνίας και Εθνικής Αντιστάσεως",ΑΙΓΑΛΕΩ
03/02/2024,ΕΚΤΑΚΤΗ,"ΠΑΝΑΓΟΥΛΗ ΑΛ. &  ΙΑΣΟΝΟΣ",ΒΟΥΛΙΑΓΜΕΝΗ
03/02/2024,ΕΚΤΑΚΤΗ,"Μεσσηνίας και Άρη Βελουχιώτη",ΑΧΑΡΝΕΣ
03/02/2024,ΕΚΤΑΚΤΗ,"Κελαίνους και Θάσου",ΑΘΗΝΑ
03/02/2024,ΕΚΤΑΚΤΗ,"Καλλιρρόης και Ρούμελης (Επηρεάζεται τμήμα του Δήμου Καλλιθέας με χαμηλές πιέσεις)",ΑΘΗΝΑ
03/02/2024,ΕΚΤΑΚΤΗ,"Λεωφ. Φανερωμένης και Αγ. Γεωργίου",ΣΑΛΑΜΙΝΑ
03/02/2024,ΕΚΤΑΚΤΗ,"Σαμοθράκης και Ηροδότου",ΣΑΛΑΜΙΝΑ
04/02/2024,ΕΚΤΑΚΤΗ,"Πευκών και Βορείου Ηπείρου",ΗΡΑΚΛΕΙΟ
04/02/2024,ΕΚΤΑΚΤΗ,"Ευριπίδου και Φλέμινγκ",ΝΙΚΑΙΑ
04/02/2024,ΕΚΤΑΚΤΗ,"Μανδηλαρά και Νικηταρά","Ν. ΠΕΡΑΜΟΣ"
04/02/2024,ΕΚΤΑΚΤΗ,"Εθν. Αντιστάσεως και Κεφαλληνίας",ΑΙΓΑΛΕΩ
04/02/2024,ΕΚΤΑΚΤΗ,"Κονίτσης και Λυκούργου",ΗΛΙΟΥΠΟΛΗ
04/02/2024,ΕΚΤΑΚΤΗ,"Μυστρά και Πάφου",ΚΕΡΑΤΣΙΝΙ
04/02/2024,ΕΚΤΑΚΤΗ,"Σταδίου και Γεωρ. Σταύρου",ΑΘΗΝΑ
04/02/2024,ΕΚΤΑΚΤΗ,"Πήγασου και Ευαγγελίστριας",ΑΧΑΡΝΕΣ
