Date,Schedule,Intersection,Area
01/12/2021,ΕΚΤΑΚΤΗ,"Αγίου Ιωάννη Στεφανή και Αγίου Γεωργίου",ΑΣΠΡΟΠΥΡΓΟΣ
01/12/2021,ΕΚΤΑΚΤΗ,"Δραγούμη και Αίγλης",ΠΕΡΙΣΤΕΡΙ
01/12/2021,ΕΚΤΑΚΤΗ,"Αγίου Βασιλείου και Ελασσόνος",ΠΕΡΙΣΤΕΡΙ
01/12/2021,ΕΚΤΑΚΤΗ,"Θριασίου Πεδίου και Δήμητρας",ΜΑΓΟΥΛΑ
01/12/2021,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Σοφοκλέους και Ευκλείδου",ΗΛΙΟΥΠΟΛΗ
01/12/2021,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Φιλικής Εταιρείας και Αθανασίου Διάκου",ΑΡΓΥΡΟΥΠΟΛΗ
01/12/2021,ΕΚΤΑΚΤΗ,"Κοιμήσεως Θεοτόκου και Εθνικής αντιστάσεως",ΑΧΑΡΝΕΣ
01/12/2021,ΕΚΤΑΚΤΗ,"Αναπάυσεως και Πεντέλης",ΒΡΙΛΗΣΣΙΑ
01/12/2021,ΕΚΤΑΚΤΗ,"Αιαντείου και Μαραθώνος",ΑΙΑΝΤΕΙΟ
01/12/2021,ΕΚΤΑΚΤΗ,"Ηρώων Πολυτεχνείου 29",ΜΑΓΟΥΛΑ
01/12/2021,ΕΚΤΑΚΤΗ,"Αγίου Μηνά και Εθνάρχου Μακαρίου","ΑΓ. ΒΑΡΒΑΡΑ"
01/12/2021,ΕΚΤΑΚΤΗ,"Αστυπάλαιας και Νάξου",ΑΘΗΝΑ
01/12/2021,ΕΚΤΑΚΤΗ,"Λαμπράκη και Δημοκρατίας",ΣΑΛΑΜΙΝΑ
01/12/2021,ΕΚΤΑΚΤΗ,"ΑΓ. ΒΑΣΙΛΕΙΟΥ& ΕΔΕΣΣΗΣ",ΠΕΡΙΣΤΕΡΙ
01/12/2021,ΕΚΤΑΚΤΗ,"Μεσσηνίας 12","Ν. ΙΩΝΙΑ"
01/12/2021,ΕΚΤΑΚΤΗ,"Γαλαξιδίου και Θήρας",ΚΟΡΥΔΑΛΛΟΣ
01/12/2021,ΕΚΤΑΚΤΗ,"Ζεφύρου και Ξενοφώντος",ΒΟΥΛΑ
02/12/2021,ΕΚΤΑΚΤΗ,"Υμηττού και Χειμάρρας",ΜΑΡΟΥΣΙ
02/12/2021,ΕΚΤΑΚΤΗ,"Υπαπαντής και Γυθείου",ΠΕΙΡΑΙΑΣ
02/12/2021,ΕΚΤΑΚΤΗ,"Δραγούμη και Λυσιμάχου",ΠΕΡΙΣΤΕΡΙ
02/12/2021,ΕΚΤΑΚΤΗ,"Μεσογείων και Επισκοπής","ΑΓ. ΔΗΜΗΤΡΙΟΣ Α"
02/12/2021,ΕΚΤΑΚΤΗ,"Σπάρτης και Μακεδονίας",ΧΑΛΑΝΔΡΙ
02/12/2021,ΕΚΤΑΚΤΗ,"Αγ. Ελεούσης και Μεγάλου Αλεξάνδρου","ΑΓ. ΒΑΡΒΑΡΑ"
02/12/2021,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αθανασίου Διάκου και Διγενή Ακρίτα",ΑΡΓΥΡΟΥΠΟΛΗ
02/12/2021,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Σοφοκλέους και Ευριπίδου",ΗΛΙΟΥΠΟΛΗ
02/12/2021,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Ηρακλειδών και Αιόλου",ΒΟΥΛΑ
02/12/2021,ΕΚΤΑΚΤΗ,"Καβάλας και Γουρδώνος","Ν. ΙΩΝΙΑ"
02/12/2021,ΕΚΤΑΚΤΗ,"Καραϊσκάκη & Κανάρη",ΣΑΛΑΜΙΝΑ
02/12/2021,ΕΚΤΑΚΤΗ,"Αμοργού και Νάξου",ΑΘΗΝΑ
02/12/2021,ΕΚΤΑΚΤΗ,"Σαράφη και Αγίου Γερασίμου",ΑΣΠΡΟΠΥΡΓΟΣ
02/12/2021,ΕΚΤΑΚΤΗ,"Κουλουριώτικο Μονοπάτι και 25ης Μαρτίου","Ν. ΠΕΡΑΜΟΣ"
02/12/2021,ΕΚΤΑΚΤΗ,"Λευκωσίας και Πίνδου",ΠΑΠΑΓΟΣ
02/12/2021,ΕΚΤΑΚΤΗ,"Αλικαρνασσού και Λευκωσίας",ΑΧΑΡΝΕΣ
02/12/2021,ΕΚΤΑΚΤΗ,"Ρούμελης και Καλλιρόης",ΑΘΗΝΑ
02/12/2021,ΕΚΤΑΚΤΗ,"Σκύρου και Πλάτωνος",ΓΑΛΑΤΣΙ
02/12/2021,ΕΚΤΑΚΤΗ,"3ης Σεπτεμβρίου και 25ης Μαρτίου",ΜΕΓΑΡΑ
02/12/2021,ΕΚΤΑΚΤΗ,"Ναούσης και Δροσίνη",ΠΕΡΙΣΤΕΡΙ
02/12/2021,ΕΚΤΑΚΤΗ,"Αχιλλέως και Κέας",ΒΟΥΛΑ
02/12/2021,ΕΚΤΑΚΤΗ,"Πελοποννήσου και Ρούπελ",ΑΔΑΜΕΣ
02/12/2021,ΕΚΤΑΚΤΗ,"Γραβιάς και Ταϋγέτου","ΑΝΩ ΓΛΥΦΑΔΑ"
03/12/2021,ΕΚΤΑΚΤΗ,"Χανίων και Τ. Κολοκυθά","ΑΓ. ΒΑΡΒΑΡΑ"
03/12/2021,ΕΚΤΑΚΤΗ,"Αχαρνέων Ιππέων και Λιοσίων",ΑΧΑΡΝΕΣ
03/12/2021,ΕΚΤΑΚΤΗ,"Γιάνναρη και Παρασκευοπούλου",ΑΘΗΝΑ
03/12/2021,ΕΚΤΑΚΤΗ,"Πελοποννήσου και Ταξιαρχών",ΚΟΡΥΔΑΛΛΟΣ
03/12/2021,ΕΚΤΑΚΤΗ,"Καλατζάκου και Μήλου","ΑΓ. ΒΑΡΒΑΡΑ"
03/12/2021,ΕΚΤΑΚΤΗ,"Δημητρέση και Μόρνου",ΑΧΑΡΝΕΣ
03/12/2021,ΕΚΤΑΚΤΗ,"Σαλαμίνος και Αχιλλέως",ΗΛΙΟΥΠΟΛΗ
04/12/2021,ΕΚΤΑΚΤΗ,"Θυμάτων Κατοχής και Κολοκοτρώνη",ΚΟΚΚΙΝΙΑ
04/12/2021,ΕΚΤΑΚΤΗ,"Λεωφόρος Ανδρέα Παπανδρέου και Αχιλλέως",ΗΛΙΟΥΠΟΛΗ
04/12/2021,ΕΚΤΑΚΤΗ,"Σαβαγηνών και Ανδριτσαίνης",ΑΘΗΝΑ
04/12/2021,ΕΚΤΑΚΤΗ,"Ελπίδος 2",ΑΧΑΡΝΕΣ
04/12/2021,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Κερκύρας και Σκύρου",ΑΘΗΝΑ
04/12/2021,ΕΚΤΑΚΤΗ,"Χανίων και Πρωθιερέως Αγιουτάκη Δ.","ΑΓ. ΔΗΜΗΤΡΙΟΣ Α"
04/12/2021,ΕΚΤΑΚΤΗ,"Μπαλή Γ. και Παπανικολάου Γ.",ΑΘΗΝΑ
04/12/2021,ΕΚΤΑΚΤΗ,"Μεγάρων και Κιούση",ΜΕΓΑΡΑ
04/12/2021,ΕΚΤΑΚΤΗ,"Συνταγματάρχου Ζησιμοπούλου και Ορφέως","Π. ΦΑΛΗΡΟ"
04/12/2021,ΕΚΤΑΚΤΗ,"Προφήτου Ηλία και Φανερωμένης περιοχή Άγιος Γεώργιος",ΣΑΛΑΜΙΝΑ
04/12/2021,ΕΚΤΑΚΤΗ,"Λεωφόρο Ειρήνης και Αγίου Βασιλείου περιοχή Ντούνη",ΣΑΛΑΜΙΝΑ
05/12/2021,ΕΚΤΑΚΤΗ,"Γρηγορίου Αυξεντίου 38 και Ελληνικού",ΚΥΨΕΛΗ
05/12/2021,ΕΚΤΑΚΤΗ,"Eλπίδος και Κλισαμπάρδα","ΑΓ. ΠΕΤΡΟΣ"
05/12/2021,ΕΚΤΑΚΤΗ,"Νεμέσεως και Ρήγα Φεραίου και Γεννήσεως Χριστού",ΑΧΑΡΝΕΣ
05/12/2021,ΕΚΤΑΚΤΗ,"Σιγανεού και Ανδριτσαίνης",ΑΘΗΝΑ
05/12/2021,ΕΚΤΑΚΤΗ,"Νεϊγύ και Ολυμπίων",ΑΘΗΝΑ
05/12/2021,ΕΚΤΑΚΤΗ,"Δυαλέων και Βασιλείου του Μεγάλου",ΑΘΗΝΑ
05/12/2021,ΕΚΤΑΚΤΗ,"Τύρας και Αντίσσης",ΑΘΗΝΑ
05/12/2021,ΕΚΤΑΚΤΗ,"Τερψιθέας και Ξάνθου","ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ"
05/12/2021,ΕΚΤΑΚΤΗ,"Ελ.Βενιζέλου και Αριστοτέλους",ΔΡΑΠΕΤΣΩΝΑ
05/12/2021,ΕΚΤΑΚΤΗ,"Πλαστήρα και Αλικαρνασσού, ΕΠΗΡΕΑΖΕΤΑΙ ΚΑΛΛΙΘΕΑ","Ν. ΣΜΥΡΝΗ Π"
06/12/2021,ΕΚΤΑΚΤΗ,"Λαρίσης και Ευσταθίου",ΑΘΗΝΑ
06/12/2021,ΕΚΤΑΚΤΗ,"Νεϊγύ 14 και Λεωφ. Ιωνίας",ΑΘΗΝΑ
06/12/2021,ΕΚΤΑΚΤΗ,"Κενταύρου και Τεμπών",ΓΑΛΑΤΣΙ
06/12/2021,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Επτανήσου και Πελοποννήσου",ΑΡΓΥΡΟΥΠΟΛΗ
06/12/2021,ΕΚΤΑΚΤΗ,"Υακίνθου και Σμύρνης",ΖΩΓΡΑΦΟΣ
06/12/2021,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Θεμιστοκλέους και Ευριπίδου",ΗΛΙΟΥΠΟΛΗ
06/12/2021,ΕΚΤΑΚΤΗ,"Θεμιστοκλέους και Παναγούλη",ΗΛΙΟΥΠΟΛΗ
06/12/2021,ΕΚΤΑΚΤΗ,"Αχαρνών και Στρατηγού Μακρυγιάννη","Ν. ΧΑΛΚΗΔΟΝΑ"
06/12/2021,ΕΚΤΑΚΤΗ,"Ροντήρη και Εθν.Αντιστάσεως",ΓΛΥΦΑΔΑ
06/12/2021,ΕΚΤΑΚΤΗ,"Αγίας Παρασκευής και Ηγουμενίτσης","ΑΓ. ΠΑΡΑΣΚΕΥΗ"
06/12/2021,ΕΚΤΑΚΤΗ,"Βουλγαροκτόνου Βασ. και Ίμβρου",ΝΕΑΠΟΛΗ
06/12/2021,ΕΚΤΑΚΤΗ,"ΦΙΛΙΚΗΣ ΕΤΑΙΡΕΙΑΣ, ΑΝΩ ΒΑΣΙΛΙΚΑ",ΣΑΛΑΜΙΝΑ
06/12/2021,ΕΚΤΑΚΤΗ,"Αγραύλης και Πηγών",ΚΗΦΙΣΙΑ
06/12/2021,ΕΚΤΑΚΤΗ,"Kεραμιδίου και Σαμαριάς",ΑΜΥΓΔΑΛΕΖΑ
06/12/2021,ΕΚΤΑΚΤΗ,"Τεώ και Πλυτά",ΓΑΛΑΤΣΙ
06/12/2021,ΕΚΤΑΚΤΗ,"ΑΚΤΗ ΘΕΜΙΣΤΟΚΛΕΟΥΣ & ΣΚΟΥΛΟΥΔΗ","ΑΓ. ΒΑΣΙΛΕΙΟΣ"
06/12/2021,ΕΚΤΑΚΤΗ,"ΟΔΥΣΣΕΩΣ  &  ΥΓΕΙΑΣ",ΒΟΥΛΑ
06/12/2021,ΕΚΤΑΚΤΗ,"ΚΥΠΡΟΥ &  ΣΥΡΟΥ",ΗΡΑΚΛΕΙΟ
07/12/2021,ΕΚΤΑΚΤΗ,"Ελικώνος και Αχαϊας",ΧΑΛΑΝΔΡΙ
07/12/2021,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Ευριπίδου και Θεμιστοκλέους",ΗΛΙΟΥΠΟΛΗ
07/12/2021,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Νέστορος και Παναγούλη",ΗΛΙΟΥΠΟΛΗ
07/12/2021,ΕΚΤΑΚΤΗ,"Αισώπου και Ελ.Βενιζέλου",ΗΛΙΟΥΠΟΛΗ
07/12/2021,ΕΚΤΑΚΤΗ,"Βικέλα και Πλαταιών",ΧΑΛΑΝΔΡΙ
07/12/2021,ΕΚΤΑΚΤΗ,"Μαραθώνος και Μακεδονίας",ΧΑΛΑΝΔΡΙ
