Date,Schedule,Intersection,Area
01/05/2021,ΕΚΤΑΚΤΗ,"Παπανδριά και  Αγ. Στυλιανού",ΑΘΗΝΑ
01/05/2021,ΕΚΤΑΚΤΗ,"Ναρκίσσου και Ανταίου",ΓΑΛΑΤΣΙ
01/05/2021,ΕΚΤΑΚΤΗ,"Αγ. Διονυσίου και Στρ. Καλλάρη",ΑΧΑΡΝΕΣ
01/05/2021,ΕΚΤΑΚΤΗ,"Σμύρνης και Ομήρου",ΜΕΛΙΣΣΙΑ
01/05/2021,ΕΚΤΑΚΤΗ,"Θεμιστοκλέους και Αγγελοπούλου",ΑΣΠΡΟΠΥΡΓΟΣ
01/05/2021,ΕΚΤΑΚΤΗ,"Ερυσίχθονος και Ηρακλειδών",ΑΘΗΝΑ
01/05/2021,ΕΚΤΑΚΤΗ,"Σουλίου και Πλαπούτα",ΠΕΤΡΟΥΠΟΛΗ
02/05/2021,ΕΚΤΑΚΤΗ,"ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ &  ΑΓ. ΕΛΕΥΘΕΡΙΟΥ",ΑΣΠΡΟΠΥΡΓΟΣ
02/05/2021,ΕΚΤΑΚΤΗ,"ΝΑΥΑΡΧΟΥ ΒΟΤΣΗ &  ΙΣΜΗΝΗΣ",ΚΑΛΛΙΘΕΑ
02/05/2021,ΕΚΤΑΚΤΗ,"ΔΙΑΔΟΧΟΥ ΠΑΥΛΟΥ &  ΜΑΡΩΣ",ΓΛΥΦΑΔΑ
02/05/2021,ΕΚΤΑΚΤΗ,"ΣΜΥΡΝΗΣ & ΟΜΗΡΟΥ",ΜΕΛΙΣΣΙΑ
02/05/2021,ΕΚΤΑΚΤΗ,"Bακτριανής και Λυκαβού",ΖΩΓΡΑΦΟΣ
02/05/2021,ΕΚΤΑΚΤΗ,"Λεωφ.Δημοκρατίας 1 , ΣΤΕΝΟ ΦΑΝΕΡΩΜΕΝΗΣ",ΣΑΛΑΜΙΝΑ
02/05/2021,ΕΚΤΑΚΤΗ,"Ναυάρχου Βοτση και Ισμήνης",ΚΑΛΛΙΘΕΑ
02/05/2021,ΕΚΤΑΚΤΗ,"Αγησιλάου και Πραξιτέλους",ΚΑΛΛΙΘΕΑ
03/05/2021,ΕΚΤΑΚΤΗ,"Ισμήνης και Ξενοφώντος",ΚΑΛΛΙΘΕΑ
03/05/2021,ΕΚΤΑΚΤΗ,"Πραξιτέλους και Πεισιστράτου",ΚΑΛΛΙΘΕΑ
03/05/2021,ΕΚΤΑΚΤΗ,"Μετρών και Φιλιππουπόλεως","Ν. ΣΜΥΡΝΗ Α"
03/05/2021,ΕΚΤΑΚΤΗ,"Μιλτιάδου και Λεωφ.Μεσογείων",ΧΟΛΑΡΓΟΣ
03/05/2021,ΕΚΤΑΚΤΗ,"Σωνιέρου και Βατσαξή",ΑΘΗΝΑ
03/05/2021,ΕΚΤΑΚΤΗ,"Υγείας και Μικράς Ασίας, ΝΕΟΚΤΙΣΤΑ",ΑΣΠΡΟΠΥΡΓΟΣ
03/05/2021,ΕΚΤΑΚΤΗ,"Αγ.Νικολάου, περιοχή ΠΗΛΟΣ",ΣΑΛΑΜΙΝΑ
03/05/2021,ΕΚΤΑΚΤΗ,"Αγ.Ιωάννου Θεολόγου και Θάλειας",ΧΟΛΑΡΓΟΣ
03/05/2021,ΕΚΤΑΚΤΗ,"Σπετσών και Αλαμάνας","ΑΓ. ΠΑΡΑΣΚΕΥΗ"
