Date,Schedule,Intersection,Area
01/06/2023,ΕΚΤΑΚΤΗ,"Πατριάρχου Γρηγορίου Ε΄& Κουντουριώτου",ΝΙΚΑΙΑ
01/06/2023,ΕΚΤΑΚΤΗ,"Δημοκρίτου και Θεοδώρου Λέκκα",ΑΧΑΡΝΕΣ
01/06/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Προύσης & Κυζίκου (Επηρεάζεται ευρύτερο τμήμα)",ΚΕΡΑΤΣΙΝΙ
01/06/2023,ΕΚΤΑΚΤΗ,"Μεγ. Αλέξάνδρου & Στρ. Λέκκα",ΜΑΡΟΥΣΙ
01/06/2023,ΕΚΤΑΚΤΗ,"Λάσκου & Μπουμπουλίνας",ΕΛΕΥΣΙΝΑ
01/06/2023,ΕΚΤΑΚΤΗ,"Γραβιάς & Σπάρτης","ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ"
01/06/2023,ΕΚΤΑΚΤΗ,"Εξηκίου και Αλκαμενους",ΑΘΗΝΑ
01/06/2023,ΕΚΤΑΚΤΗ,"Εργασίας & Έλλης","Ν. ΙΩΝΙΑ"
01/06/2023,ΕΚΤΑΚΤΗ,"Αβύδου & Σ. Παπακωνσταντίνου",ΖΩΓΡΑΦΟΣ
01/06/2023,ΕΚΤΑΚΤΗ,"Ακτή Καραισκάκη & Μπόγρη Δ.",ΣΑΛΑΜΙΝΑ
01/06/2023,ΕΚΤΑΚΤΗ,"Αργολίδος & Βελεστίνου",ΑΘΗΝΑ
01/06/2023,ΕΚΤΑΚΤΗ,"Μενίππου και Αριστοτέλους",ΧΟΛΑΡΓΟΣ
01/06/2023,ΕΚΤΑΚΤΗ,"Αγίου Γεωργίου και Σούτσου",ΛΥΚΟΒΡΥΣΗ
01/06/2023,ΕΚΤΑΚΤΗ,"Λεωφόρος Δημοκρατίας και Γεωργίου Γεννηματά",ΣΑΛΑΜΙΝΑ
02/06/2023,ΕΚΤΑΚΤΗ,"Σεβαστείας & Κίου","ΝΕΑ ΙΩΝΙΑ"
02/06/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"ΣΕ ΟΛΟ ΤΟΝ ΔΗΜΟ",ΠΕΡΑΜΑ
