Date,Schedule,Intersection,Area
01/11/2023,ΕΚΤΑΚΤΗ,"Αγ. Νικολάου και Περικλεους",ΠΕΡΑΜΑ
01/11/2023,ΕΚΤΑΚΤΗ,"Τεμπών και Υδρας","ΑΓ. ΠΑΡΑΣΚΕΥΗ"
01/11/2023,ΕΚΤΑΚΤΗ,"Πανόρμου και Αχαίας",ΑΘΗΝΑ
01/11/2023,ΕΚΤΑΚΤΗ,"Ιακωβίδου 13",ΑΘΗΝΑ
01/11/2023,ΕΚΤΑΚΤΗ,"Κωστή Παλαμά και Αργοναυτών",ΧΑΛΑΝΔΡΙ
01/11/2023,ΕΚΤΑΚΤΗ,"Ζαχαρή και Ιωαννίνων",ΑΧΑΡΝΕΣ
01/11/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Χαριλάου Τρικούπη και Πεντέλης",ΚΗΦΙΣΙΑ
01/11/2023,ΕΚΤΑΚΤΗ,"Πελοποννήσου και Γερανείου","Ν. ΠΕΡΑΜΟΣ"
01/11/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Μαντζαγριωτάκη και Ελ. Βενιζέλου",ΚΑΛΛΙΘΕΑ
01/11/2023,ΕΚΤΑΚΤΗ,"Αγίας Σοφίας και Κωνσταντινουπόλεως",ΠΕΡΙΣΤΕΡΙ
01/11/2023,ΕΚΤΑΚΤΗ,"Τήνου και Πόρου",ΓΑΛΑΤΣΙ
01/11/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Προγραμματισμένες εργασίες σήμερα 1/11 λόγω κατασκευής της υπογειοποίησης των γραμμών τρένου της ΕΡΓΟΣΕ",ΑΘΗΝΑ
02/11/2023,ΕΚΤΑΚΤΗ,"Κεας και Πέλλης",ΓΛΥΦΑΔΑ
02/11/2023,ΕΚΤΑΚΤΗ,"Θήρας και Αγίου Νικολάου",ΜΕΓΑΡΑ
02/11/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Αθ. Στάθη και Κων/νου Βάρναλη",ΕΛΕΥΣΙΝΑ
02/11/2023,ΕΚΤΑΚΤΗ,"Παύλου Μελά και Μεγ. Αλέξάνδρου",ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ
02/11/2023,ΕΚΤΑΚΤΗ,"Λεωφ. Ανδρέα Συγγρού και Ευριπίδου",ΚΑΛΛΙΘΕΑ
02/11/2023,ΕΚΤΑΚΤΗ,"Ρόδου και Αθ. Διάκου",ΠΕΤΡΟΥΠΟΛΗ
02/11/2023,ΕΚΤΑΚΤΗ,"Μεγ. Αλεξάνδρου και Πρωταγόρα",ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ
02/11/2023,ΕΚΤΑΚΤΗ,"Αχαρνών και Ξάνθης",ΑΣΠΡΟΠΥΡΓΟΣ
02/11/2023,ΕΚΤΑΚΤΗ,"Αίδινίου και Ελ. Βενιζέλου",ΓΛΥΦΑΔΑ
02/11/2023,ΕΚΤΑΚΤΗ,"Δάφνης και Πλάτωνος","ΚΑΚΗ ΒΙΓΛΑ"
02/11/2023,ΕΚΤΑΚΤΗ,"Αριστοτέλους και Δερβενακίων",ΜΟΣΧΑΤΟ
03/11/2023,ΕΚΤΑΚΤΗ,"Φιλαδελφέως και Δημητρίου Γούναρη",ΚΕΦΑΛΑΡΙ
03/11/2023,ΕΚΤΑΚΤΗ,"Προφήτου Ηλία και Καποδιστρίου",ΠΟΛΥΔΡΟΣΟ
03/11/2023,ΕΚΤΑΚΤΗ,"Ανδρομάχης και Μυκόνου",ΣΑΛΑΜΙΝΑ
03/11/2023,ΕΚΤΑΚΤΗ,"Λεωφόρος Δημοκρατίας και Στρατάρχου Αλέξανδρου Παπάγου",ΜΑΡΟΥΣΙ
03/11/2023,ΕΚΤΑΚΤΗ,"Χελιδονούς και Κηφισού",ΚΗΦΙΣΙΑ
03/11/2023,ΕΚΤΑΚΤΗ,"Τρωάδος και Λεωφ. Δεκελείας","Ν. ΦΙΛΑΔΕΛΦΕΙΑ"
03/11/2023,ΕΚΤΑΚΤΗ,"Πόντου και Γερμανού",ΠΕΡΑΜΑ
03/11/2023,ΕΚΤΑΚΤΗ,"Παναγουλη και Περιανδρου",ΒΟΥΛΙΑΓΜΕΝΗ
03/11/2023,ΕΚΤΑΚΤΗ,"Αγίας Σοφίας και Κωνσταντινουπόλέως",ΠΕΡΙΣΤΕΡΙ
03/11/2023,ΕΚΤΑΚΤΗ,"Ιωνος και Αρτης","ΑΓ. ΔΗΜΗΤΡΙΟΣ Α"
03/11/2023,ΕΚΤΑΚΤΗ,"Σκιάθου και Κύμης",ΣΑΛΑΜΙΝΑ
03/11/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Παρμενιώνος και Ορφέως",ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ
03/11/2023,ΕΚΤΑΚΤΗ,"Αριστοτέλους και Δερβενακίων",ΜΟΣΧΑΤΟ
03/11/2023,ΠΡΟΓΡΑΜΜΑΤΙΣΜΕΝΗ,"Πριάμου και Μακεδονομάχων",ΒΟΥΛΑ
03/11/2023,ΕΚΤΑΚΤΗ,"Οκτάβιου Μερλιέ και Ανδρέα Δημητρίου","Ν. ΙΩΝΙΑ"
03/11/2023,ΕΚΤΑΚΤΗ,"Παπαφλέσσα και Ελπίδος",ΓΑΛΑΤΣΙ
03/11/2023,ΕΚΤΑΚΤΗ,"Γρεβενών και Τυμφρήστου",ΧΑΛΑΝΔΡΙ
03/11/2023,ΕΚΤΑΚΤΗ,"Νερομάνας και Αγ. Αποστόλων",ΑΧΑΡΝΕΣ
03/11/2023,ΕΚΤΑΚΤΗ,"Βικέλα και Ποταμού Καλαμά",ΧΑΛΑΝΔΡΙ
03/11/2023,ΕΚΤΑΚΤΗ,"Μακεδονομάχων και Αρχελάου",ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ
04/11/2023,ΕΚΤΑΚΤΗ,"Μαρίνου Αντύπα και Κύπρου",ΑΡΓΥΡΟΥΠΟΛΗ
